component	line	slot	tag	kind	anatomy	part	carried	missingTokens	unresolvedIdents
select	12	-	SelectPrimitive.ItemIndicator	literal	-	-	NO	absolute right-2	-
select	13	select-label	SelectPrimitive.Label	call:cn	SelectLabel	-	NO	px-2 py-1.5 text-xs font-medium text-muted-foreground	-
select	14	select-separator	SelectPrimitive.Separator	call:cn	SelectSeparator	-	NO	-mx-1 my-1 h-px bg-border	-
separator	20	separator	SeparatorPrimitive.Root	call:cn	Separator	(root)	yes	-	-
sheet	31	sheet-overlay	SheetPrimitive.Overlay	call:cn	SheetOverlay	-	NO	inset-0 bg-black/50	-
sheet	34	sheet-content	SheetPrimitive.Content	call:cn	SheetContent	-	yes	-	-
sheet	37	sheet-header	div	call:cn	SheetHeader	-	NO	gap-2 text-left	-
sheet	38	sheet-footer	div	call:cn	SheetFooter	-	NO	mt-auto flex-col-reverse gap-2 sm:flex-row sm:justify-end	-
sheet	39	sheet-title	SheetPrimitive.Title	call:cn	SheetTitle	-	NO	text-lg font-semibold	-
sheet	40	sheet-description	SheetPrimitive.Description	call:cn	SheetDescription	-	NO	text-sm text-muted-foreground	-
sidebar	115	sidebar-wrapper	div	call:cn	-	-	NO	min-h-svh	-
sidebar	153	sidebar-inner	nav	ident:sidebarInnerClassName	-	-	NO	h-full bg-sidebar data-[variant=floating]:rounded-lg data-[variant=floating]:border data-[variant=floating]:border-sidebar-border data-[variant=floating]:shadow-sm	-
sidebar	159	sidebar	SheetContent	call:cn	Sidebar	(root)	NO	bg-sidebar p-0	-
sidebar	160	-	SheetHeader	literal	-	-	NO	sr-only	-
sidebar	166	sidebar	div	literal	Sidebar	(root)	NO	block bg-transparent transition-[width] data-[state=collapsed]:data-[collapsible=offcanvas]:w-0 data-[state=collapsed]:data-[collapsible=icon]:w-(--sidebar-width-icon)	-
sidebar	170	sidebar-container	div	call:cn	-	-	yes	-	-
sidebar	186	sidebar-trigger	button	call:cn	SidebarTrigger	-	NO	inline-flex size-8	-
sidebar	195	-	svg	literal	-	-	NO	size-4	-
sidebar	196	-	span	literal	-	-	NO	sr-only	-
sidebar	204	sidebar-rail	button	call:cn	SidebarRail	-	NO	z-20 w-4 -translate-x-1/2 after:absolute after:inset-y-0 after:left-1/2 after:w-[2px] hover:after:bg-sidebar-border	-
sidebar	219	sidebar-inset	div	call:cn	SidebarInset	SidebarInset	yes	-	-
sidebar	222	sidebar-header	div	call:cn	SidebarHeader	SidebarHeader	yes	-	-
sidebar	223	sidebar-content	div	call:cn	SidebarContent	SidebarContent	yes	-	-
sidebar	224	sidebar-footer	div	call:cn	SidebarFooter	SidebarFooter	yes	-	-
sidebar	226	sidebar-separator	Separator	call:cn	SidebarSeparator	-	NO	mx-2 w-auto	-
sidebar	228	sidebar-group	div	call:cn	SidebarGroup	SidebarGroup	yes	-	-
sidebar	229	sidebar-group-label	div	call:cn	SidebarGroupLabel	SidebarGroupLabel	yes	-	-
sidebar	230	sidebar-group-content	div	call:cn	SidebarGroupContent	SidebarGroupContent	yes	-	-
sidebar	231	sidebar-group-action	button	call:cn	SidebarGroupAction	-	NO	right-3 top-3.5 aspect-square w-5	-
sidebar	233	sidebar-menu	ul	call:cn	SidebarMenu	SidebarMenu	yes	-	-
sidebar	234	sidebar-menu-item	li	call:cn	SidebarMenuItem	SidebarMenuItem	yes	-	-
sidebar	252	sidebar-menu-button	button	call:cn	SidebarMenuButton	SidebarMenuButton	yes	-	-
sidebar	255	sidebar-menu-action	button	call:cn	SidebarMenuAction	-	NO	aspect-square w-5	-
sidebar	256	sidebar-menu-badge	div	call:cn	SidebarMenuBadge	SidebarMenuBadge	yes	-	-
sidebar	257	sidebar-menu-sub	ul	call:cn	SidebarMenuSub	SidebarMenuSub	yes	-	-
sidebar	258	sidebar-menu-sub-item	li	call:cn	SidebarMenuSubItem	SidebarMenuSubItem	yes	-	-
sidebar	260	sidebar-menu-sub-button	a	call:cn	SidebarMenuSubButton	SidebarMenuSubButton	yes	-	-
skeleton	8	skeleton	div	call:cn	Skeleton	(root)	yes	-	-
slider	84	slider-track	SliderPrimitive.Track	call:cn	SliderTrack	SliderTrack	yes	-	-
slider	88	slider-range	SliderPrimitive.Range	call:cn	SliderRange	SliderRange	yes	-	-
slider	92	slider-thumb	SliderPrimitive.Thumb	call:cn	SliderThumb	SliderThumb	yes	-	-
slider	114	slider	SliderPrimitive.Root	call:cn	Slider	(root)	yes	-	-
spinner	12	spinner	svg	call:cn	Spinner	(root)	yes	-	-
switch	20	switch	SwitchPrimitive.Root	call:cn	Switch	(root)	yes	-	-
switch	20	switch-thumb	SwitchPrimitive.Thumb	literal	Thumb	-	NO	pointer-events-none block translate-x-0 bg-background ring-0 transition-transform	-
table	14	table	table	call:tableVariants	Table	(root)	yes	-	-
table	17	table-header	thead	call:cn	TableHeader	TableHeader	yes	-	-
table	20	table-body	tbody	call:cn	TableBody	TableBody	yes	-	-
table	23	table-row	tr	call:cn	TableRow	TableRow	yes	-	-
table	26	table-head	th	call:cn	TableHead	TableHead	yes	-	-
table	29	table-cell	td	call:cn	TableCell	TableCell	yes	-	-
